web-scraper-order,web-scraper-start-url,link to TV,link to TV-href,caracteristique,price,rating,marque
"1638027025-554","https://www.jumia.ma/mlp-smart-tv/?page=1#catalog-listing","XIAOMI Mi LED TV 4A  32"" (1.5Go, 8Go) Android 9.0 - Noir3.5 out of 5(2)2,149.00 Dhs2,900.00 Dhs26%","https://www.jumia.ma/mi-led-tv-4a-32-1.5go-8go-android-9.0-noir-xiaomi-mpg1072616.html","XIAOMI Mi LED TV 4A  32"" (1.5Go, 8Go) Android 9.0 - Noir","2,149.00 Dhs","3.5","XIAOMI"
"1638026540-370","https://www.jumia.ma/mlp-smart-tv/?page=6#catalog-listing","TCL LED 32P SMART RECEPTEUR2,597.00 Dhs3,100.00 Dhs16%","https://www.jumia.ma/tcl-led-32p-smart-recepteur-42360473.html","TCL LED 32P SMART RECEPTEUR","2,597.00 Dhs","null","TCL"
"1638026568-380","https://www.jumia.ma/mlp-smart-tv/?page=6#catalog-listing","Daiko LED 32 "" HD Smart TV Récepteur intégré - Noir - LED32R7298K2,050.00 Dhs2,900.00 Dhs29%","https://www.jumia.ma/daiko-led-32-hd-smart-tv-recepteur-integre-noir-led32r7298k-44351014.html","Daiko LED 32 "" HD Smart TV Récepteur intégré - Noir - LED32R7298K","2,050.00 Dhs","null","Daiko"
"1638026530-366","https://www.jumia.ma/mlp-smart-tv/?page=6#catalog-listing","LG LED 55"" UHD 4K Smart TV avec WEBOS - Noir - 55UP7750PVB6,699.00 Dhs","https://www.jumia.ma/lg-led-55-uhd-4k-smart-tv-avec-webos-noir-55up7750pvb-44741599.html","LG LED 55"" UHD 4K Smart TV avec WEBOS - Noir - 55UP7750PVB","6,699.00 Dhs","null","LG"
"1638026722-439","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","Samsung LED 32 SERIE 5-Récepteur intégré+SUPPORT GRATUIT4.4 out of 5(11)1,899.05 Dhs2,399.00 Dhs21%","https://www.jumia.ma/led-samsung-32-serie-5-recepteur-integresupport-gratuit-samsung-mpg914374.html","Samsung LED 32 SERIE 5-Récepteur intégré+SUPPORT GRATUIT","1,899.05 Dhs","4.4","Samsung"
"1638027066-570","https://www.jumia.ma/mlp-smart-tv/?page=1#catalog-listing","CHIQ Smart TV 32"" Android 9.0 HD - Bluetooth 5.0 - Récepteur Intégré - HDR - DOLBY VISION1,999.00 Dhs2,990.00 Dhs33%","https://www.jumia.ma/chiq-smart-tv-32-android-9.0-hd-bluetooth-5.0-recepteur-integre-hdr-dolby-vision-42556767.html","CHIQ Smart TV 32"" Android 9.0 HD - Bluetooth 5.0 - Récepteur Intégré - HDR - DOLBY VISION","1,999.00 Dhs","null","CHIQ"
"1638026522-363","https://www.jumia.ma/mlp-smart-tv/?page=6#catalog-listing","Samsung 65 Q80AT QLED Smart 4K TV17,907.52 Dhs","https://www.jumia.ma/samsung-65-q80at-qled-smart-4k-tv-44487350.html","Samsung 65 Q80AT QLED Smart 4K TV","17,907.52 Dhs","null","Samsung"
"1638026835-482","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Expédié depuis l'étrangerKindle Paperwhite (10th Gen) - 6"" High Resolution Display With Built-in Light  (Open Box)906.61 Dhs1,133.26 Dhs20%","https://www.jumia.ma/generic-kindle-paperwhite-10th-gen-6-high-resolution-display-with-built-in-light-open-box-43474619.html","Kindle Paperwhite (10th Gen) - 6"" High Resolution Display With Built-in Light  (Open Box)","906.61 Dhs","null","(Pas d'avis disponibles)"
"1638027023-553","https://www.jumia.ma/mlp-smart-tv/?page=1#catalog-listing","Siera Smart TV LED 42P Récepteur3,149.00 Dhs4,374.00 Dhs28%","https://www.jumia.ma/siera-smart-tv-led-42p-recepteur-42712704.html","Siera Smart TV LED 42P Récepteur","3,149.00 Dhs","null","Siera"
"1638026737-445","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","Boutique OfficielleSamsung 65"" 4K UHD QLED Smart TV - 65Q80 - Noir15,990.00 Dhs21,990.00 Dhs27%","https://www.jumia.ma/samsung-65-4k-uhd-qled-smart-tv-65q80-noir-34164138.html","Samsung 65"" 4K UHD QLED Smart TV - 65Q80 - Noir","15,990.00 Dhs","null","Samsung"
"1638027109-587","https://www.jumia.ma/mlp-smart-tv/?page=1#catalog-listing","Samsung TV 43"" Smart 4K Crystal UHD - Série 7 - Bluetooth - Récepteur Intégré +TNT - Nouveau modèle4,789.00 Dhs7,899.00 Dhs39%","https://www.jumia.ma/samsung-tv-43-smart-4k-crystal-uhd-serie-7-bluetooth-recepteur-integre-tnt-nouveau-modele-43678616.html","Samsung TV 43"" Smart 4K Crystal UHD - Série 7 - Bluetooth - Récepteur Intégré +TNT - Nouveau modèle","4,789.00 Dhs","null","Samsung"
"1638026248-257","https://www.jumia.ma/mlp-smart-tv/?page=9#catalog-listing","En rupture de stockHaier 32"" LED TV - LE32B9000T - Noir4.1 out of 5(1188)1,999.00 Dhs","https://www.jumia.ma/32-led-tv-le32b9000t-noir-haier-mpg17127.html","Haier 32"" LED TV - LE32B9000T - Noir","1,999.00 Dhs","4.1","Haier"
"1638026268-265","https://www.jumia.ma/mlp-smart-tv/?page=9#catalog-listing","En rupture de stockLG 49″ Full HD 49LK5900PLA LED Smart TV – Noir6,359.00 Dhs","https://www.jumia.ma/lg-49-full-hd-49lk5900pla-led-smart-tv-noir-21614758.html","LG 49″ Full HD 49LK5900PLA LED Smart TV – Noir","6,359.00 Dhs","null","LG"
"1638027073-573","https://www.jumia.ma/mlp-smart-tv/?page=1#catalog-listing","support de television profesionales de 14 a 554 out of 5(35)97.99 Dhs150.00 Dhs35%offres à partir de","https://www.jumia.ma/support-de-television-profesionales-de-14-a-55-generic-mpg858414.html","support de television profesionales de 14 a 55","97.99 Dhs","4","(35 avis)"
"1638026724-440","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","Sharp TV 65 4K ANDROID9 T2/S28,490.00 Dhs","https://www.jumia.ma/sharp-tv-65-4k-android9-t2s2-41875779.html","Sharp TV 65 4K ANDROID9 T2/S2","8,490.00 Dhs","null","Sharp"
"1638026256-260","https://www.jumia.ma/mlp-smart-tv/?page=9#catalog-listing","En rupture de stockSamsung TV 55"" Smart LED, Wi-Fi Intégré - 55NU7172 - Garantie 1 an4.5 out of 5(2)7,999.00 Dhs","https://www.jumia.ma/samsung-tv-55-smart-led-wi-fi-integre-55nu7172-garantie-1-an-27653818.html","Samsung TV 55"" Smart LED, Wi-Fi Intégré - 55NU7172 - Garantie 1 an","7,999.00 Dhs","4.5","Samsung"
"1638026284-271","https://www.jumia.ma/mlp-smart-tv/?page=9#catalog-listing","En rupture de stockAiwa TV LED 32"" SMART TV  Récepteur intégré Frameless design  JH32TS180N HD4 out of 5(3)2,000.00 Dhs","https://www.jumia.ma/aiwa-tv-led-32-smart-tv-recepteur-integre-frameless-design-jh32ts180n-hd-35905681.html","Aiwa TV LED 32"" SMART TV  Récepteur intégré Frameless design  JH32TS180N HD","2,000.00 Dhs","4","Aiwa"
"1638027115-589","https://www.jumia.ma/mlp-smart-tv/?page=1#catalog-listing","Samsung 40"" Smart Tv Full HD - Récepteur Intégré - TNT - HDMI - Nouveau Modèle + Support Mural Cadeau5 out of 5(1)3,489.00 Dhs4,799.00 Dhs27%","https://www.jumia.ma/samsung-40-smart-tv-full-hd-recepteur-integre-tnt-hdmi-nouveau-modele-support-mural-cadeau-44704063.html","Samsung 40"" Smart Tv Full HD - Récepteur Intégré - TNT - HDMI - Nouveau Modèle + Support Mural Cadeau","3,489.00 Dhs","5","Samsung"
"1638026857-491","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Vision TV 32"" HD Recepteur integré TNT 3HDMI  2USB GRIS MODEL 2020 Support Gratuit1,749.00 Dhs2,199.00 Dhs20%","https://www.jumia.ma/vision-tv-32-hd-recepteur-integre-tnt-3hdmi-2usb-gris-model-2020-support-gratuit-40501509.html","Vision TV 32"" HD Recepteur integré TNT 3HDMI  2USB GRIS MODEL 2020 Support Gratuit","1,749.00 Dhs","null","Vision"
"1638026784-463","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","CHIQ U75H9i 75"" 4K LED UHD TV (8Go, 1.5Go)  Android P  TNT + SATELLITE - Noir11,900.00 Dhs15,900.00 Dhs25%","https://www.jumia.ma/chiq-u75h9i-75-4k-led-uhd-tv-8go-1.5go-android-p-tnt-satellite-noir-40717747.html","CHIQ U75H9i 75"" 4K LED UHD TV (8Go, 1.5Go)  Android P  TNT + SATELLITE - Noir","11,900.00 Dhs","null","CHIQ"
"1638026928-518","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Samsung 32"" SMART TV S5 +TNT+Récepteur+Service 12 Mois+Screen Mirroring2,699.00 Dhs2,999.00 Dhs10%","https://www.jumia.ma/samsung-32-smart-tv-s5-tntrecepteurservice-12-moisscreen-mirroring-43386306.html","Samsung 32"" SMART TV S5 +TNT+Récepteur+Service 12 Mois+Screen Mirroring","2,699.00 Dhs","null","Samsung"
