web-scraper-order,web-scraper-start-url,link to product,link to product-href,name,price,link to reviews,link to reviews-href,image-src,ratings
"1637688123-2659","https://www.jumia.ma/maquillage/?page=6#catalog-listing","Boutique OfficielleGolden Rose FARD À PAUPIÈRES METALLIC LIQUID N°1053.7 out of 5(3)Options disponibles:24.00 Dhs55.00 Dhs56%","https://www.jumia.ma/golden-rose-fard-a-paupieres-metallic-liquid-n105-37700918.html","Golden Rose FARD À PAUPIÈRES METALLIC LIQUID N°105","24.00 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GO870ST1CRF1HNAFAMZ/","null","2 out of 5"
"1637687579-2459","https://www.jumia.ma/maquillage/?page=9#catalog-listing","Palette de maquillage .kit 4 en 1.4 out of 5(20)67.00 Dhs129.00 Dhs48%","https://www.jumia.ma/generic-palette-de-maquillage-.kit-4-en-1.-35046150.html","Palette de maquillage .kit 4 en 1.","67.00 Dhs","(20 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232ST032OLXNAFAMZ/","null","3 out of 5"
"1637688277-2727","https://www.jumia.ma/maquillage/?page=5#catalog-listing","Boutique OfficielleGolden Rose VERNIS PERFECT NUDE LOOK  034.1 out of 5(15)Options disponibles:25.00 Dhs","https://www.jumia.ma/golden-rose-vernis-perfect-nude-look-03-35041840.html","Golden Rose VERNIS PERFECT NUDE LOOK  03","25.00 Dhs","(15 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GO870ST02V6JPNAFAMZ/","null","5 out of 5"
"1637688825-3044","https://www.jumia.ma/maquillage/?page=2#catalog-listing","Boutique OfficielleCatrice Rouge à lèvres Ultimate Matt Lipstick 0903.7 out of 5(7)39.00 Dhs69.00 Dhs43%","https://www.jumia.ma/catrice-rouge-a-levres-ultimate-matt-lipstick-090-36223843.html","Catrice Rouge à lèvres Ultimate Matt Lipstick 090","39.00 Dhs","(7 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/CA395ST0KQKQVNAFAMZ/","null","5 out of 5"
"1637687072-2317","https://www.jumia.ma/maquillage/?page=11#catalog-listing","Boutique OfficielleMaybelline New York L'Oréal Paris - Rouge à lèvres matte Color Riche Free The Nudes - NO PRESSURE 104 out of 5(2)80.00 Dhs119.95 Dhs33%","https://www.jumia.ma/maybelline-new-york-loreal-paris-rouge-a-levres-matte-color-riche-free-the-nudes-no-pressure-10-35444812.html","Maybelline New York L'Oréal Paris - Rouge à lèvres matte Color Riche Free The Nudes - NO PRESSURE 10","80.00 Dhs","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/MA596HB0D07ADNAFAMZ/","null","5 out of 5"
"1637688386-2793","https://www.jumia.ma/maquillage/?page=5#catalog-listing","Boutique OfficielleCatrice MASCARA ALLROUND ULTRA BLACK CATRICE4.2 out of 5(13)40.00 Dhs","https://www.jumia.ma/catrice-mascara-allround-ultra-black-catrice-34702728.html","Catrice MASCARA ALLROUND ULTRA BLACK CATRICE","40.00 Dhs","(13 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/CA395ST1D8ZQFNAFAMZ/","null","4 out of 5"
"1637688747-2980","https://www.jumia.ma/maquillage/?page=3#catalog-listing","Boutique OfficielleL'Oréal Paris Fond de teint Haute couvrance matifiant - Infaillible 24h Matte Cover - 290 AMBRE DORE - 35 ml3.8 out of 5(5)Options disponibles:79.33 Dhs120.00 Dhs34%","https://www.jumia.ma/loreal-paris-fond-de-teint-haute-couvrance-matifiant-infaillible-24h-matte-cover-290-ambre-dore-35-ml-33603790.html","L'Oréal Paris Fond de teint Haute couvrance matifiant - Infaillible 24h Matte Cover - 290 AMBRE DORE - 35 ml","79.33 Dhs","(5 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/BR590HB05SK7DNAFAMZ/","null","4 out of 5"
"1637684768-2013","https://www.jumia.ma/maquillage/?page=26#catalog-listing","Oriflame Vernis à ongles OnColour latte Taupe4.3 out of 5(3)39.00 Dhs55.00 Dhs29%offres à partir de","https://www.jumia.ma/vernis-a-ongles-oncolour-latte-taupe-oriflame-mpg945539.html","Oriflame Vernis à ongles OnColour latte Taupe","39.00 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OR143ST0MPJ39NAFAMZ/","null","3 out of 5"
"1637684302-1973","https://www.jumia.ma/maquillage/?page=29#catalog-listing","Organisateur Présentoir maquillage et accessoire multi-usage 360°Rotation4.2 out of 5(9)135.69 Dhs600.00 Dhs77%offres à partir de","https://www.jumia.ma/organisateur-presentoir-maquillage-et-accessoire-multi-usage-360rotation-generic-mpg850943.html","Organisateur Présentoir maquillage et accessoire multi-usage 360°Rotation","135.69 Dhs","(9 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232ST1MRXI7NAFAMZ/","null","5 out of 5"
"1637687478-2416","https://www.jumia.ma/maquillage/?page=9#catalog-listing","Boutique OfficielleEssie Vernis à ongles ESSIE 61 Russian Roulette4.6 out of 5(11)52.11 Dhs70.00 Dhs26%","https://www.jumia.ma/essie-vernis-a-ongles-essie-61-russian-roulette-33479207.html","Essie Vernis à ongles ESSIE 61 Russian Roulette","52.11 Dhs","(11 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/ES507HB15UPUHNAFAMZ/","null","5 out of 5"
