web-scraper-order,web-scraper-start-url,link to product,link to product-href,name,price,image-src,link to reviews,link to reviews-href,rating
"1637693970-3898","https://www.jumia.ma/parfums-femme/?page=50#catalog-listing","Avon Luck Eau de parfum pour Femme 50 ml3.7 out of 5(12)98.99 Dhs399.99 Dhs75%offres à partir de","https://www.jumia.ma/luck-eau-de-parfum-pour-femme-50-ml-avon-mpg940947.html","Avon Luck Eau de parfum pour Femme 50 ml","98.99 Dhs","null","(12 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AV168PF003GS2NAFAMZ/","(7)"
"1637696220-4039","https://www.jumia.ma/parfums-femme/?page=32#catalog-listing","Avon PARFUM INCANDESSENCE + CRÉME DU CORPS + DÉODORANT3.8 out of 5(6)146.00 Dhsoffres à partir de","https://www.jumia.ma/parfum-incandessence-creme-du-corps-deodorant-avon-mpg52046.html","Avon PARFUM INCANDESSENCE + CRÉME DU CORPS + DÉODORANT","146.00 Dhs","null","(6 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AV168HB0YC2FONAFAMZ/","(1)"
"1637694813-3955","https://www.jumia.ma/parfums-femme/?page=43#catalog-listing","Oriflame Pack JOYCE Eau de toilette pour Elle , 50 ml chacun4 out of 5(1)179.99 Dhs999.99 Dhs82%offres à partir de","https://www.jumia.ma/pack-joyce-eau-de-toilette-pour-elle-50-ml-chacun-oriflame-mpg1033073.html","Oriflame Pack JOYCE Eau de toilette pour Elle , 50 ml chacun","179.99 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OR143PF0G0MYMNAFAMZ/","(0)"
"1637694344-3924","https://www.jumia.ma/parfums-femme/?page=47#catalog-listing","Oriflame Pack pour Femme EDT Divine 50 ml+ Mascara 5 en 1+ Crème des mains5 out of 5(2)239.00 Dhs419.00 Dhs43%offres à partir de","https://www.jumia.ma/pack-pour-femme-edt-divine-50-ml-mascara-5-en-1-creme-des-mains-oriflame-mpg959207.html","Oriflame Pack pour Femme EDT Divine 50 ml+ Mascara 5 en 1+ Crème des mains","239.00 Dhs","null","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OR143PF0CHKKUNAFAMZ/","(2)"
"1637696605-4068","https://www.jumia.ma/parfums-femme/?page=29#catalog-listing","Swiss Arabian World Frarance Shaghaf Oud  - 75 ml5 out of 5(2)479.99 Dhs599.99 Dhs20%","https://www.jumia.ma/world-frarance-shaghaf-oud-75-ml-swiss-arabian-mpg1025454.html","Swiss Arabian World Frarance Shaghaf Oud  - 75 ml","479.99 Dhs","null","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/SW884HB0P8128NAFAMZ/","(2)"
"1637696003-4026","https://www.jumia.ma/parfums-femme/?page=34#catalog-listing","Lattafa LAIL MALEKI DE LATTAFA UNISEXE EDP 100 ML3.5 out of 5(4)131.99 Dhs699.00 Dhs81%offres à partir de","https://www.jumia.ma/lail-maleki-pour-unisexe-edp-100-ml-lattafa-mpg57983.html","Lattafa LAIL MALEKI DE LATTAFA UNISEXE EDP 100 ML","131.99 Dhs","null","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/LA942HB1BTI7RNAFAMZ/","(1)"
"1637695166-3975","https://www.jumia.ma/parfums-femme/?page=40#catalog-listing","Elegance Body-Splash : Fresia & Red Plum By Elegance 300ml5 out of 5(1)54.00 Dhs74.00 Dhs27%offres à partir de","https://www.jumia.ma/body-splash-fresia-red-plum-by-elegance-300ml-elegance-mpg63513.html","Elegance Body-Splash : Fresia & Red Plum By Elegance 300ml","54.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/EL702HB05OGZCNAFAMZ/","(1)"
"1637695215-3977","https://www.jumia.ma/parfums-femme/?page=40#catalog-listing","Parfums D'Orient Coffret khaliss oudi  100ml+ deodorant4 out of 5(2)239.00 Dhs249.00 Dhs4%","https://www.jumia.ma/coffret-khaliss-oudi-100ml-deodorant-parfums-dorient-mpg59716.html","Parfums D'Orient Coffret khaliss oudi  100ml+ deodorant","239.00 Dhs","null","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/PA517HB0KA1QKNAFAMZ/","(1)"
"1637693947-3895","https://www.jumia.ma/parfums-femme/?page=50#catalog-listing","Avon Little Black Dress Eau de Parfum Natural Spray 50ml - 1.7oz4.8 out of 5(5)119.88 Dhsoffres à partir de","https://www.jumia.ma/little-black-dress-eau-de-parfum-natural-spray-50ml-1.7oz-avon-mpg74331.html","Avon Little Black Dress Eau de Parfum Natural Spray 50ml - 1.7oz","119.88 Dhs","null","(5 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AV168HB16A3ZCNAFAMZ/","(4)"
"1637696117-4034","https://www.jumia.ma/parfums-femme/?page=33#catalog-listing","Oriflame Coffret Cadeau Eclat Femme Weekend: Parfum+ crème pour le corps5 out of 5(1)187.97 Dhs999.99 Dhs81%offres à partir de","https://www.jumia.ma/coffret-cadeau-eclat-femme-weekend-parfum-creme-pour-le-corps-oriflame-mpg939630.html","Oriflame Coffret Cadeau Eclat Femme Weekend: Parfum+ crème pour le corps","187.97 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OR143ST0OCSRSNAFAMZ/","(1)"
"1637696673-4074","https://www.jumia.ma/parfums-femme/?page=29#catalog-listing","No 9016 Eau de Parfum - 25ml1.7 out of 5(3)190.00 Dhs","https://www.jumia.ma/no-9016-eau-de-parfum-25ml-genie-collection-mpg51465.html","No 9016 Eau de Parfum - 25ml","190.00 Dhs","null","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE011HB0ZX9I2NAFAMZ/","(0)"
